location_id_str,state_abbr,location_desc,race,Female,Male,male_female_diff,male_female_ratio
05093,AR,Mississippi County,Overall,475.2,762.3,287.09999999999997,1.6041666666666665
05093,AR,Mississippi County,White,473.5,822.1,348.6,1.736219640971489
05095,AR,Monroe County,Black,478.9,620.7,141.80000000000007,1.2960952182083945
05095,AR,Monroe County,Overall,374.6,646.6,272.0,1.7261078483715964
05095,AR,Monroe County,White,321.3,713.3,391.99999999999994,2.2200435729847494
05097,AR,Montgomery County,Overall,367.0,588.5,221.5,1.603542234332425
05097,AR,Montgomery County,White,372.8,615.7,242.90000000000003,1.6515557939914163
05099,AR,Nevada County,Black,454.1,710.2,256.1,1.5639726932393747
05099,AR,Nevada County,Overall,360.3,597.5,237.2,1.6583402719955591
05099,AR,Nevada County,White,334.1,585.2,251.10000000000002,1.751571385812631
05101,AR,Newton County,Overall,370.0,548.2,178.20000000000005,1.4816216216216218
05101,AR,Newton County,White,382.1,582.7,200.60000000000002,1.5249934572101544
05103,AR,Ouachita County,Black,427.3,684.7,257.40000000000003,1.6023870816756378
05103,AR,Ouachita County,Overall,359.5,592.7,233.20000000000005,1.6486787204450628
05103,AR,Ouachita County,White,335.8,540.7,204.90000000000003,1.610184633710542
05105,AR,Perry County,Black,325.1,511.2,186.09999999999997,1.5724392494617039
05105,AR,Perry County,Hispanic,135.8,213.7,77.89999999999998,1.5736377025036816
05105,AR,Perry County,Overall,295.1,475.6,180.5,1.6116570654015587
05105,AR,Perry County,White,304.0,491.6,187.60000000000002,1.6171052631578948
05107,AR,Phillips County,Black,313.5,479.2,165.7,1.528548644338118
05107,AR,Phillips County,Overall,252.5,410.9,158.39999999999998,1.6273267326732672
05107,AR,Phillips County,White,259.9,423.7,163.8,1.6302424009234322
05109,AR,Pike County,Black,446.6,628.6,182.0,1.4075235109717867
05109,AR,Pike County,Overall,362.6,597.1,234.5,1.6467181467181466
05109,AR,Pike County,White,365.4,626.1,260.70000000000005,1.713464696223317
05111,AR,Poinsett County,Black,459.1,1648.6,1189.5,3.5909387932912216
05111,AR,Poinsett County,Overall,430.3,850.8,420.49999999999994,1.977225191726702
05111,AR,Poinsett County,White,439.2,844.1,404.90000000000003,1.921903460837887
05113,AR,Polk County,American Indian or Alaska Native,303.9,468.0,164.10000000000002,1.5399802566633762
05113,AR,Polk County,Overall,417.2,623.8,206.59999999999997,1.4952061361457334
05113,AR,Polk County,White,439.5,674.3,234.79999999999995,1.5342434584755402
05115,AR,Pope County,Overall,348.3,473.5,125.19999999999999,1.3594602354292276
05115,AR,Pope County,White,363.0,489.6,126.60000000000002,1.3487603305785125
05117,AR,Prairie County,Black,494.5,543.1,48.60000000000002,1.0982810920121335
05117,AR,Prairie County,Overall,326.8,516.3,189.49999999999994,1.5798653610771112
05117,AR,Prairie County,White,323.8,528.7,204.90000000000003,1.6327980234712787
05119,AR,Pulaski County,Asian,138.5,219.7,81.19999999999999,1.5862815884476533
05119,AR,Pulaski County,Black,308.1,513.4,205.29999999999995,1.6663420967218434
05119,AR,Pulaski County,Hispanic,88.1,216.3,128.20000000000002,2.455164585698071
05119,AR,Pulaski County,Overall,267.2,467.2,200.0,1.748502994011976
